Menu Id,Parent menu Id,Menu name,Menu section name,Icon class,Icon,Text,Link to Menu Id,Route path,Note
1,null,Dr. Max,,,,,,,
,,,Novinky a akce,,,,,,
,,,,fa-solid,badge-percent,Akce a slevy,,,
,,,,fa-solid,box-open-full,Výprodej,,,
,,,,fa-solid,stars,Novinky,,,
,,,Nabídka e-shopu,,,,,,
,,,,fa-regular,shopping-bag,Procházet kategorie,2,,
,,,,fa-regular,sun,Zdravé léto,,,
,,,,fa-regular,spray-can-sparkles,Bjut: Luxusní kosmetika,,,
,,,,fa-regular,prescription-bottle-pill,Produkty Dr. Max,,,
,,,,fa-regular,boxes,3 za 2,,,
,,,Klientská zóna,,,,,,
,,,,fa-regular,user-circle,Můj účet,9,,
,,,,fa-regular,hand-holding-star,Věrnostní program,10,,
,,,,fa-regular,map-location,Mapa lékáren a boxů,,,
,,,,fa-regular,messages,Poradenství a články,8,,
,,,,fa-regular,phone,Kontakty,4,,
,,,Více,,,,,,
,,,,fa-regular,box-isometric-tape,"O dopravě, platbě, reklamaci",7,,
,,,,fa-regular,share-nodes,Média,5,,
,,,,custom,,"Česko, čeština",6,,
2,1,Procházet kategorie,,,,,,,
,,,Kategorie,,,,,,
,,,,fa-regular,jug-bottle,Domácnost a drogerie,,,
,,,,fa-regular,capsules,Doplňky stravy,,,
,,,,fa-regular,mortar-pestle,Krása a péče,,,
,,,,fa-regular,person-breastfeeding,Matka a dítě,,,
,,,,fa-regular,dumbbell,Pro sportovce,,,
,,,,fa-regular,dog-leashed,Pro zvířata,,,
,,,,fa-regular,pot-food,Zdravá výživa,,,
,,,,fa-regular,prescription-bottle-pill,Zdraví a léky,3,,
,,,,fa-regular,stethoscope,Zdravotnické potřeby,,,
,,,Léky,,,,,,
,,,,fa-regular,prescription-bottle-pill,E-recepty,,,
,,,Značky,,,,,,
,,,,fa-regular,box-open-full,Dr. Max produkty,,,
,,,,fa-regular,gift-card,Dr. Max dárkové karty,,,
