Menu Id,Parent menu Id,Menu name,Menu section name,Icon class,Icon,Text,Link to Menu Id,Route path,Note
1,null,Dr. Max,Novinky a akce,fa-solid,badge-percent,Akce a slevy,,,
1,null,Dr. Max,Novinky a akce,fa-solid,box-open-full,Výprodej,,,
1,null,Dr. Max,Novinky a akce,fa-solid,stars,Novinky,,,
1,null,Dr. Max,Nabídka e-shopu,fa-regular,shopping-bag,Procházet kategorie,2,,
1,null,Dr. Max,Nabídka e-shopu,fa-regular,sun,Zdravé léto,,,
1,null,Dr. Max,Nabídka e-shopu,fa-regular,spray-can-sparkles,Bjut: Luxusní kosmetika,,,
1,null,Dr. Max,Nabídka e-shopu,fa-regular,prescription-bottle-pill,Produkty Dr. Max,,,
1,null,Dr. Max,Nabídka e-shopu,fa-regular,boxes,3 za 2,,,
1,null,Dr. Max,Klientská zóna,fa-regular,user-circle,Můj účet,9,,
1,null,Dr. Max,Klientská zóna,fa-regular,hand-holding-star,Věrnostní program,10,,
1,null,Dr. Max,Klientská zóna,fa-regular,map-location,Mapa lékáren a boxů,,,
1,null,Dr. Max,Klientská zóna,fa-regular,messages,Poradenství a články,8,,
1,null,Dr. Max,Klientská zóna,fa-regular,phone,Kontakty,4,,
1,null,Dr. Max,Více,fa-regular,box-isometric-tape,"O dopravě, platbě, reklamaci",7,,
1,null,Dr. Max,Více,fa-regular,share-nodes,Média,5,,
1,null,Dr. Max,Více,custom,,"Česko, čeština",6,,
2,1,Procházet kategorie,Kategorie,fa-regular,jug-bottle,Domácnost a drogerie,,,
2,1,Procházet kategorie,Kategorie,fa-regular,capsules,Doplňky stravy,,,
2,1,Procházet kategorie,Kategorie,fa-regular,mortar-pestle,Krása a péče,,,
2,1,Procházet kategorie,Kategorie,fa-regular,person-breastfeeding,Matka a dítě,,,
2,1,Procházet kategorie,Kategorie,fa-regular,dumbbell,Pro sportovce,,,
2,1,Procházet kategorie,Kategorie,fa-regular,dog-leashed,Pro zvířata,,,
2,1,Procházet kategorie,Kategorie,fa-regular,pot-food,Zdravá výživa,,,
2,1,Procházet kategorie,Kategorie,fa-regular,prescription-bottle-pill,Zdraví a léky,3,,
2,1,Procházet kategorie,Kategorie,fa-regular,stethoscope,Zdravotnické potřeby,,,
2,1,Procházet kategorie,Léky,fa-regular,prescription-bottle-pill,E-recepty,,,
2,1,Procházet kategorie,Značky,fa-regular,box-open-full,Dr. Max produkty,,,
